Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
加蓬	GAB	基尼 (GINI) 系数	SI.POV.GINI																																														42.2												38		
英国	GBR	基尼 (GINI) 系数	SI.POV.GINI																																													36	34.3	34.6	35.7	34.1	34.3	34.4	33.2	32.3	33.2	34	33.2				
格鲁吉亚	GEO	基尼 (GINI) 系数	SI.POV.GINI																																					37.1	40.7	41.3	40.1	40.5	39.6	37.2	36.7	36.2	37.4	36.9	38.1	38.5	38.2	39.5	39.6	39	38.6	37.6	36.5	36.6	37.9		
加纳	GHA	基尼 (GINI) 系数	SI.POV.GINI																												35.3	36			38.4							40.1							42.8							42.4				43.5			
直布罗陀	GIB	基尼 (GINI) 系数	SI.POV.GINI																																																												
几内亚	GIN	基尼 (GINI) 系数	SI.POV.GINI																																46.8			46.1								43					39.4					33.7							
冈比亚	GMB	基尼 (GINI) 系数	SI.POV.GINI																																							48.5					47.3							43.6					35.9				
几内亚比绍共和国	GNB	基尼 (GINI) 系数	SI.POV.GINI																																		43.6									35.6								50.7									
赤道几内亚	GNQ	基尼 (GINI) 系数	SI.POV.GINI																																																												
希腊	GRC	基尼 (GINI) 系数	SI.POV.GINI																																												32.8	33.6	34.6	35.1	34	33.6	33.6	34.1	34.8	36.2	36.1	35.8	36				
格林纳达	GRD	基尼 (GINI) 系数	SI.POV.GINI																																																												
格陵兰	GRL	基尼 (GINI) 系数	SI.POV.GINI																																																												
危地马拉	GTM	基尼 (GINI) 系数	SI.POV.GINI																											58.3			59.6											54.2						54.6								48.3					
关岛	GUM	基尼 (GINI) 系数	SI.POV.GINI																																																												
圭亚那	GUY	基尼 (GINI) 系数	SI.POV.GINI																																							44.6																					
高收入国家	HIC	基尼 (GINI) 系数	SI.POV.GINI																																																												
中国香港特别行政区	HKG	基尼 (GINI) 系数	SI.POV.GINI																																																												
洪都拉斯	HND	基尼 (GINI) 系数	SI.POV.GINI																														59.5	57.4	51.9	51.8	53.5	55	55.5	55.7	52.7	57.4	55.4		55.6	55.7	58.1	58.1	59.5	57.5	55.8	55.5	51.3	53.1	56.2	56.1	52.6	50.4	49.6	50	50.5		
重债穷国 (HIPC)	HPC	基尼 (GINI) 系数	SI.POV.GINI																																																												
克罗地亚	HRV	基尼 (GINI) 系数	SI.POV.GINI																													22.8																					32.6	32.4	32.3	32.5	32	32.1	31.1				
海地	HTI	基尼 (GINI) 系数	SI.POV.GINI																																																					41.1							
匈牙利	HUN	基尼 (GINI) 系数	SI.POV.GINI																												21		25				27.9											29.9	34.7	28.3	27.9	27.5	27	29.4	29.2	30.8	31.5	30.9	30.4				
只有IBRD	IBD	基尼 (GINI) 系数	SI.POV.GINI																																																												
IBRD与IDA	IBT	基尼 (GINI) 系数	SI.POV.GINI																																																												
IDA總	IDA	基尼 (GINI) 系数	SI.POV.GINI																																																												
IDA混合	IDB	基尼 (GINI) 系数	SI.POV.GINI																																																												
印度尼西亚	IDN	基尼 (GINI) 系数	SI.POV.GINI																									32.4			30.6			31.2			32			34.4		31.1	31	28.5	29	31.7	31.8	32.7	33	34.2	35.7	35.1	35.1	36.4	39.7	39.6	39.9	39.4	39.7	38.6	38.1		
只有IDA	IDX	基尼 (GINI) 系数	SI.POV.GINI																																																												
马恩岛	IMN	基尼 (GINI) 系数	SI.POV.GINI																																																												
印度	IND	基尼 (GINI) 系数	SI.POV.GINI																								32.1				32.6						31.7											34.4					35.4		35.7								
未分类国家	INX	基尼 (GINI) 系数	SI.POV.GINI																																																												
爱尔兰	IRL	基尼 (GINI) 系数	SI.POV.GINI																																												32.9	33.6	33.7	32.7	31.9	30.9	32.7	32.3	32.9	33.2	33.5	31.9	31.8				
伊朗伊斯兰共和国	IRN	基尼 (GINI) 系数	SI.POV.GINI																											47.4				43.6				43				44.1							43.6	44.8			42.1				37.4	38.8	39.5	40			
伊拉克	IRQ	基尼 (GINI) 系数	SI.POV.GINI																																															28.6						29.5							
冰岛	ISL	基尼 (GINI) 系数	SI.POV.GINI																																												26.8	28	29	30.2	29.5	31.8	28.7	26.2	26.8	26.8	25.4	27.8					
以色列	ISR	基尼 (GINI) 系数	SI.POV.GINI																				36.3							36.5						35.5					38.1				38.9				41.7		41			42.6		41.4		39.8		38.9			
意大利	ITA	基尼 (GINI) 系数	SI.POV.GINI																																												34.9	34.3	33.8	33.7	32.9	33.8	33.8	34.7	35.1	35.2	34.9	34.7	35.4				
牙买加	JAM	基尼 (GINI) 系数	SI.POV.GINI																													43.2		41.1			35.7			40.4			44.1			48.3		45.5															
约旦	JOR	基尼 (GINI) 系数	SI.POV.GINI																											36.1						43.4					36.4					37				33.9		32.6		33.7									
日本	JPN	基尼 (GINI) 系数	SI.POV.GINI																																																	32.1											
哈萨克斯坦	KAZ	基尼 (GINI) 系数	SI.POV.GINI																																					35.4					36	34.8	33.7	31.8	39.8	30.2	30.1	28.5	28.2	28	28	28.2	27.1	27	26.8	27.2	27.5		
肯尼亚	KEN	基尼 (GINI) 系数	SI.POV.GINI																																	57.5		43.1			45								46.5										40.8				
吉尔吉斯斯坦	KGZ	基尼 (GINI) 系数	SI.POV.GINI																																							46.4		31	30.2	30.3	28.7	34.8	32.6	37.4	33.9	31.5	29.9	30.1	27.8	27.4	28.8	26.8	29	26.8	27.3		
柬埔寨	KHM	基尼 (GINI) 系数	SI.POV.GINI																																																												
基里巴斯	KIR	基尼 (GINI) 系数	SI.POV.GINI																																															37													
圣基茨和尼维斯	KNA	基尼 (GINI) 系数	SI.POV.GINI																																																												
大韩民国	KOR	基尼 (GINI) 系数	SI.POV.GINI																																															31.7		32.3		32		31.6							
科威特	KWT	基尼 (GINI) 系数	SI.POV.GINI																																																												
拉丁美洲与加勒比海地区（不包括高收入）	LAC	基尼 (GINI) 系数	SI.POV.GINI																																																												
老挝	LAO	基尼 (GINI) 系数	SI.POV.GINI																																	34.3					34.9					32.6					35.4					36.4							
黎巴嫩	LBN	基尼 (GINI) 系数	SI.POV.GINI																																																				31.8								
利比里亚	LBR	基尼 (GINI) 系数	SI.POV.GINI																																																36.5							33.2		35.3			
利比亚	LBY	基尼 (GINI) 系数	SI.POV.GINI																																																												
圣卢西亚	LCA	基尼 (GINI) 系数	SI.POV.GINI																																				42.6																					51.2			
拉丁美洲与加勒比海地区	LCN	基尼 (GINI) 系数	SI.POV.GINI																																																												
最不发达国家：联合国分类	LDC	基尼 (GINI) 系数	SI.POV.GINI																																																												
低收入国家	LIC	基尼 (GINI) 系数	SI.POV.GINI																																																												
列支敦士登	LIE	基尼 (GINI) 系数	SI.POV.GINI																																																												
斯里兰卡	LKA	基尼 (GINI) 系数	SI.POV.GINI																										32.5					32.4					35.4							41				40.3			36.4			39.2				39.8			
中低等收入国家	LMC	基尼 (GINI) 系数	SI.POV.GINI																																																												
中低收入国家	LMY	基尼 (GINI) 系数	SI.POV.GINI																																																												
莱索托	LSO	基尼 (GINI) 系数	SI.POV.GINI																											56								63.2								51.6								54.2									
後期人口紅利	LTE	基尼 (GINI) 系数	SI.POV.GINI																																																												
立陶宛	LTU	基尼 (GINI) 系数	SI.POV.GINI																																		33.6											37	35.3	34.4	34.8	35.7	37.2	33.6	32.5	35.1	35.3	37.7	37.4				
卢森堡	LUX	基尼 (GINI) 系数	SI.POV.GINI																																												30.2	30.2	30.8	30.9	31.1	32.6	31.2	30.5	32.1	34.3	32	31.2	33.8				
拉脱维亚	LVA	基尼 (GINI) 系数	SI.POV.GINI																																		27		31	31.6								36.4	39	35.6	37.5	37.2	35.9	35	35.8	35.2	35.5	35.1	34.2				
中国澳门特别行政区	MAC	基尼 (GINI) 系数	SI.POV.GINI																																																												
圣马丁（法属）	MAF	基尼 (GINI) 系数	SI.POV.GINI																																																												
摩洛哥	MAR	基尼 (GINI) 系数	SI.POV.GINI																									39.2						39.2								39.5		40.6						40.7							39.5						
摩纳哥	MCO	基尼 (GINI) 系数	SI.POV.GINI																																																												
摩尔多瓦	MDA	基尼 (GINI) 系数	SI.POV.GINI																																						36.9	39.5	42.6	36.4	38	35.8	34.9	35	36.3	35.4	34.4	34.7	32.9	32.1	30.6	29.2	28.5	26.8	27	26.3	25.9		
马达加斯加	MDG	基尼 (GINI) 系数	SI.POV.GINI																					46.8													45.3				39.5		38.6		47.4				39.9					42.4		42.6							
马尔代夫	MDV	基尼 (GINI) 系数	SI.POV.GINI																																											41.3							38.4										
中东与北非地区	MEA	基尼 (GINI) 系数	SI.POV.GINI																																																												
墨西哥	MEX	基尼 (GINI) 系数	SI.POV.GINI																														54.3			53.7		54.3		54.8		53.4		52.6		50.1		50	50.1	48.9		49.9		47.2		48.7		48.7		48.3			
马绍尔群岛	MHL	基尼 (GINI) 系数	SI.POV.GINI																																																												
中等收入国家	MIC	基尼 (GINI) 系数	SI.POV.GINI																																																												
北马其顿	MKD	基尼 (GINI) 系数	SI.POV.GINI																																																		42.8	40.2	39.4	38.1	36.2	35.2	35.6				
马里	MLI	基尼 (GINI) 系数	SI.POV.GINI																																			50.4							39.9					38.9			33										
马耳他	MLT	基尼 (GINI) 系数	SI.POV.GINI																																															28	29.2	29	30.2	29	29.1	29.4	28.8	29	29.4				
缅甸	MMR	基尼 (GINI) 系数	SI.POV.GINI																																																								38.1				
中东与北非地区（不包括高收入）	MNA	基尼 (GINI) 系数	SI.POV.GINI																																																												
黑山	MNE	基尼 (GINI) 系数	SI.POV.GINI																																														30.2	30	31.4	30.5	31	28.9	30.8	32.3	32.4	31.9					
蒙古	MNG	基尼 (GINI) 系数	SI.POV.GINI																																				33.2			30.3				32.9					35.8			33.1	33.9	33.8		32		32.3			
北马里亚纳群岛	MNP	基尼 (GINI) 系数	SI.POV.GINI																																																												
莫桑比克	MOZ	基尼 (GINI) 系数	SI.POV.GINI																																					53.6						47						45.6						54					
毛里塔尼亚	MRT	基尼 (GINI) 系数	SI.POV.GINI																												43.9						50.1		37.7					39				40.2				35.7						32.6					
毛里求斯	MUS	基尼 (GINI) 系数	SI.POV.GINI																																															35.7						38.5							
马拉维	MWI	基尼 (GINI) 系数	SI.POV.GINI																																						65.8							39.9						45.5						44.7			
马来西亚	MYS	基尼 (GINI) 系数	SI.POV.GINI																									48.6			47		46.2			47.7			48.5		49.1							46.1			46.1	45.5			43.9		41.3		41				
北美	NAC	基尼 (GINI) 系数	SI.POV.GINI																																																												
纳米比亚	NAM	基尼 (GINI) 系数	SI.POV.GINI																																												63.3						61						59.1				
新喀里多尼亚	NCL	基尼 (GINI) 系数	SI.POV.GINI																																																												
尼日尔	NER	基尼 (GINI) 系数	SI.POV.GINI																																	36.1		41.5											44.4		37.3				31.5			34.3					
尼日利亚	NGA	基尼 (GINI) 系数	SI.POV.GINI																										38.7							45				51.9							40.1						43										
尼加拉瓜	NIC	基尼 (GINI) 系数	SI.POV.GINI																																		57.4					54.4			52.9				48.8				43.9					46.2					
荷兰	NLD	基尼 (GINI) 系数	SI.POV.GINI																																													29.8	29	30	29.6	29.3	27.9	27.8	27.7	27.6	28.1	28.6	28.2				
挪威	NOR	基尼 (GINI) 系数	SI.POV.GINI																																												27.6	31.6	30.6	26.4	27.1	27	26.2	25.7	25.3	25.7	26.4	26.8	27.5				
尼泊尔	NPL	基尼 (GINI) 系数	SI.POV.GINI																																				35.2								43.8							32.8									
