Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
东亚与太平洋地区（不包括高收入）	EAP	国际旅游，入境人数	ST.INT.ARVL																																				43574268.86	47954673.22	48612866.48	49142093.54	54923563.96	62845010.82	68283607.05	73898460.69	65681092.65	84046164.1	91038512.87	98307167.79	109659556.5	110339543.4	108768130.6	119849436	127992468.8	134631328.2	141425660.1	144255678.1	152894804.4	161116622.3	172302112.2		
早人口紅利	EAR	国际旅游，入境人数	ST.INT.ARVL																																				70026359.33	76476894.54	78919919.98	82009373.9	83226324.71	91242719.13	90337753.77	96207120.26	98240634.9	114781657.1	124816418.3	132716613.5	151698940.5	167091759.2	159834346.1	177794919.3	176349967	188791079.8	196516861.6	220489955.7	225080170.6	219810081.8	244924366.7		
东亚与太平洋地区	EAS	国际旅游，入境人数	ST.INT.ARVL																																				77633979.44	84136587.32	84604994.92	84590103.35	93433363.43	105029882	110822017.9	119828659.6	107623996.5	137711392.5	148643896.2	160086008.3	177102899.1	175804968.9	172899870.5	195018784.8	206832527.9	221489481.3	236156147.4	249070596.2	263420552.2	283769510.6	300572493.6		
欧洲与中亚地区（不包括高收入）	ECA	国际旅游，入境人数	ST.INT.ARVL																																				32278459.65	38714901.7	46116691.97	42768213.82	41310173.49	50364294.47	55980129.16	62610554.92	65925134.03	75558799.81	80951221.57	83682737.06	100661192.5	109881461.4	102236370.3	105418018.2	117297512.2	133987879.4	143678540.1	135119875.2	137047413	129085280.1	144452107.5		
欧洲与中亚地区	ECS	国际旅游，入境人数	ST.INT.ARVL																																				295513163.6	311628300	336654250.6	346867957.1	355106329.7	383051537.2	384104838.5	395474416.2	398230683.2	416511482.4	439686313.6	462906516.1	490448231.9	493221112.7	468111995	480591398	512778373.3	538631437.7	567722575.2	579784449.3	603880514.1	615979433.5	669544120.1		
厄瓜多尔	ECU	国际旅游，入境人数	ST.INT.ARVL																																				440000	494000	529000	511000	518000	627000	641000	683000	761000	819000	860000	841000	937000	1005000	968000	1047000	1141000	1272000	1364000	1557000	1544000	1418000	1608000		
阿拉伯埃及共和国	EGY	国际旅游，入境人数	ST.INT.ARVL																																				2871000	3528000	3656000	3213000	4490000	5116000	4357000	4906000	5746000	7795000	8244000	8646000	10610000	12296000	11914000	14051000	9497000	11196000	9174000	9628300	9139000	5258000	8157000		
欧洲货币联盟	EMU	国际旅游，入境人数	ST.INT.ARVL																																				196847000	202466000	217627000	229558000	240992000	255220000	253457000	259072000	257998000	259716000	268230000	284573000	293226000	290467000	277391000	284018000	301188000	307789000	322512000	337513000	352907000	366887000	396702000		
厄立特里亚	ERI	国际旅游，入境人数	ST.INT.ARVL																																				315000	417000	410000	188000	57000	70000	113000	101000	80000	87000	83000	78000	81000	70000	79000	84000	107000	129000	141000	119000	114000	142000			
西班牙	ESP	国际旅游，入境人数	ST.INT.ARVL																																				32971000	34027000	39553000	41892000	45440000	46403000	48565000	50331000	50854000	52430000	55914000	58004000	58666000	57192000	52178000	52677000	56177000	57464000	60675000	64939000	68175000	75315000	81786000		
