Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
只有IBRD	IBD	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																				0.43			0.425		0.53		0.495		0.68		0.82		0.89		1.08		1.285		1.17		0.83			
IBRD与IDA	IBT	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.47		0.555		0.53		0.73		0.89		1.03		1.12		1.295		1.24		0.92			
IDA總	IDA	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.505		0.57		0.54		0.795		0.98		1.125		1.155		1.32		1.3		0.94			
IDA混合	IDB	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.48		0.53		0.52		0.73		0.97		1.2		1.205		1.37		1.21		0.97			
印度尼西亚	IDN	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																0.24				0.44			0.16		0.17		0.27		0.27		0.57		0.5		0.79		0.47		0.93		0.63			
只有IDA	IDX	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.52		0.62		0.57		0.8		0.98		1.075		1.15		1.31		1.33		0.93			
马恩岛	IMN	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																																												
印度	IND	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																0.56				0.48			0.56		0.6		0.66		0.87		1.01		1.09		1.15		1.25		1.1		0.97			
未分类国家	INX	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																																												
爱尔兰	IRL	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																				0.96			1.02		0.72		0.9		1.29		1.34		1.56		1.78		2.02		1.92		1.37			
伊朗伊斯兰共和国	IRN	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.08		0.05		0.07		0.09		0.09		0.1		0.097		0.33		0.374		0.399			
